Round_Centre_Code,FSU_Serial_No,Round,Sch_No,Sample,Sector,State_Region,District,Stratum,Sub_Stratum_No,Filler_1,Sub_Round,Sub_Sample,FOD_Sub_Region,Hamlet_Group_Sub_Block_No,Second_Stage_Stratum_No,Sample_Hhld_No,Level,Filler_2,HH_Size,NIC_2008,NCO_2004,HH_Type,Religion,Social_Group,Land_Owned,Land_Possessed,Land_Cultivated,NREG_Job_Card,No_NREG_Card,Saving_Bank_Held_by_any_member,Spl_characters_for_OK_stamp,Blank,NSS,NSC,MLT,NSS_SR,NSC_SR,MLT_SR,Household_Type,State,District_code,Multiplier_comb
RC-1,FSU-82821,Round 68,SCH-108,Sample 1,Rural,Uttarakhand,Hyderabad,Stratum-4,Sub-Stratum-4,N/A,Sub-Round 4,Sub-Sample 1,FOD-282,Block-3,Stage-2,HH-2,Level 2,N/A,1,Restaurant/Hotel,Driver,Other Labour,Sikhism,Other Backward Class (OBC),20.5 acres,17.3 acres,14.1 acres,No,1,No,Pending,,NSS-14,NSC-26,223711.02,SR-5,SR-3,162630.14,Extended Family,Uttarakhand,DT-875,1039.285
RC-2,FSU-49336,Round 61,SCH-144,Sample 2,Rural,Jharkhand,Pune,Stratum-7,Sub-Stratum-3,N/A,Sub-Round 4,Sub-Sample 1,FOD-197,Block-3,Stage-3,HH-1,Level 1,N/A,10,Manufacture of food products,Doctor,Other Labour,Sikhism,Scheduled Tribe (ST),29.3 acres,4.4 acres,7.0 acres,Yes,1,No,OK,,NSS-2,NSC-28,462302.51,SR-4,SR-5,891460.33,Nuclear Family,Jharkhand,DT-592,394.606
RC-2,FSU-91773,Round 70,SCH-165,Sample 1,Urban,Gujarat,Patna,Stratum-10,Sub-Stratum-5,N/A,Sub-Round 4,Sub-Sample 1,FOD-799,Block-2,Stage-2,HH-5,Level 2,N/A,12,Education services,Nurse,Regular Wage/Salary,Sikhism,Other Backward Class (OBC),11.6 acres,50.2 acres,18.6 acres,Yes,2,No,Pending,,NSS-4,NSC-8,343938.71,SR-5,SR-4,381245.17,Single Member,Gujarat,DT-400,1309.444
RC-1,FSU-46731,Round 75,SCH-140,Sample 1,Rural,Gujarat,Ranchi,Stratum-4,Sub-Stratum-4,N/A,Sub-Round 1,Sub-Sample 2,FOD-699,Block-4,Stage-2,HH-7,Level 3,N/A,8,Retail trade,Farmer/Cultivator,Agricultural Labour,Buddhism,Other Backward Class (OBC),38.7 acres,48.9 acres,5.6 acres,No,2,Yes,Pending,,NSS-1,NSC-3,357018.2,SR-1,SR-2,830902.19,Nuclear Family,Gujarat,DT-687,1859.009
RC-5,FSU-66442,Round 73,SCH-108,Sample 2,Urban,Kerala,Lucknow,Stratum-10,Sub-Stratum-1,N/A,Sub-Round 3,Sub-Sample 2,FOD-318,Block-1,Stage-3,HH-2,Level 3,N/A,2,Retail trade,Carpenter,Regular Wage/Salary,Hinduism,Scheduled Tribe (ST),41.4 acres,27.9 acres,5.7 acres,No,1,No,OK,,NSS-11,NSC-3,132591.81,SR-4,SR-5,789506.84,Extended Family,Kerala,DT-437,555.528
RC-3,FSU-35087,Round 73,SCH-132,Sample 2,Urban,Punjab,Bhopal,Stratum-7,Sub-Stratum-2,N/A,Sub-Round 4,Sub-Sample 2,FOD-253,Block-3,Stage-3,HH-8,Level 1,N/A,4,Retail trade,Blacksmith,Regular Wage/Salary,Jainism,Other Backward Class (OBC),20.4 acres,50.4 acres,26.0 acres,Yes,5,Yes,Pending,,NSS-8,NSC-17,393278.03,SR-3,SR-4,450795.12,Extended Family,Punjab,DT-519,1463.432
RC-5,FSU-40372,Round 63,SCH-180,Sample 2,Rural,Rajasthan,Surat,Stratum-1,Sub-Stratum-3,N/A,Sub-Round 1,Sub-Sample 1,FOD-632,Block-2,Stage-2,HH-6,Level 3,N/A,11,Crop and animal production,Doctor,Others,Hinduism,General/Others,15.7 acres,43.2 acres,20.9 acres,No,2,No,Pending,,NSS-8,NSC-15,329027.45,SR-5,SR-1,654937.55,Single Member,Rajasthan,DT-669,800.87
RC-5,FSU-80735,Round 64,SCH-129,Sample 1,Rural,Maharashtra,Ambala,Stratum-10,Sub-Stratum-2,N/A,Sub-Round 4,Sub-Sample 2,FOD-364,Block-1,Stage-2,HH-4,Level 1,N/A,1,Manufacture of textiles,Teacher,Self-employed in Non-Agriculture,Jainism,Scheduled Caste (SC),30.4 acres,19.4 acres,26.8 acres,Yes,2,Yes,Pending,,NSS-17,NSC-5,419677.41,SR-5,SR-3,530483.14,Joint Family,Maharashtra,DT-808,1160.571
RC-4,FSU-43212,Round 64,SCH-166,Sample 1,Urban,Andhra Pradesh,Dehradun,Stratum-1,Sub-Stratum-2,N/A,Sub-Round 1,Sub-Sample 1,FOD-537,Block-2,Stage-3,HH-8,Level 3,N/A,9,Crop and animal production,Driver,Other Labour,Buddhism,Other Backward Class (OBC),48.1 acres,13.4 acres,21.8 acres,Yes,2,No,Pending,,NSS-14,NSC-20,297010.84,SR-5,SR-2,495416.08,Extended Family,Andhra Pradesh,DT-349,1625.653
RC-2,FSU-90559,Round 75,SCH-128,Sample 2,Urban,Maharashtra,Agra,Stratum-10,Sub-Stratum-2,N/A,Sub-Round 2,Sub-Sample 1,FOD-730,Block-4,Stage-3,HH-5,Level 1,N/A,8,Crop and animal production,Driver,Regular Wage/Salary,Islam,Scheduled Tribe (ST),35.9 acres,0.6 acres,28.3 acres,No,5,No,Pending,,NSS-4,NSC-19,224570.97,SR-4,SR-1,350935.12,Extended Family,Maharashtra,DT-903,521.914
RC-2,FSU-56665,Round 60,SCH-144,Sample 2,Rural,Andhra Pradesh,Pune,Stratum-2,Sub-Stratum-5,N/A,Sub-Round 3,Sub-Sample 2,FOD-651,Block-5,Stage-2,HH-4,Level 2,N/A,5,Manufacture of food products,Mason/Construction Worker,Agricultural Labour,Hinduism,Scheduled Tribe (ST),34.3 acres,16.8 acres,14.0 acres,No,3,No,Pending,,NSS-2,NSC-1,117292.79,SR-5,SR-3,684327.56,Joint Family,Andhra Pradesh,DT-407,1514.763
RC-3,FSU-61653,Round 66,SCH-113,Sample 2,Rural,Jharkhand,Patna,Stratum-8,Sub-Stratum-3,N/A,Sub-Round 3,Sub-Sample 1,FOD-557,Block-5,Stage-3,HH-3,Level 2,N/A,7,Crop and animal production,Driver,Other Labour,Hinduism,Other Backward Class (OBC),43.0 acres,0.5 acres,7.1 acres,Yes,1,No,Pending,,NSS-14,NSC-15,118446.09,SR-1,SR-3,391562.59,Nuclear Family,Jharkhand,DT-150,1819.744
RC-2,FSU-57083,Round 63,SCH-197,Sample 2,Rural,Karnataka,Lucknow,Stratum-10,Sub-Stratum-2,N/A,Sub-Round 3,Sub-Sample 2,FOD-353,Block-5,Stage-2,HH-6,Level 1,N/A,8,Fishing and aquaculture,Engineer,Regular Wage/Salary,Buddhism,General/Others,39.7 acres,24.8 acres,26.0 acres,No,5,Yes,Pending,,NSS-11,NSC-27,403089.91,SR-2,SR-2,669420.31,Joint Family,Karnataka,DT-463,1946.933
RC-2,FSU-17794,Round 63,SCH-172,Sample 2,Rural,Rajasthan,Shimla,Stratum-7,Sub-Stratum-2,N/A,Sub-Round 2,Sub-Sample 1,FOD-998,Block-2,Stage-1,HH-5,Level 3,N/A,11,Restaurant/Hotel,Manager,Regular Wage/Salary,Buddhism,Scheduled Caste (SC),6.1 acres,6.3 acres,5.9 acres,No,3,Yes,Pending,,NSS-10,NSC-15,361388.35,SR-5,SR-2,652450.25,Nuclear Family,Rajasthan,DT-546,1404.427
RC-1,FSU-83146,Round 67,SCH-192,Sample 1,Urban,Tamil Nadu,Bhopal,Stratum-6,Sub-Stratum-4,N/A,Sub-Round 4,Sub-Sample 2,FOD-630,Block-4,Stage-1,HH-4,Level 1,N/A,8,Education services,Weaver,Self-employed in Agriculture,Hinduism,General/Others,10.0 acres,25.6 acres,11.2 acres,No,1,No,OK,,NSS-8,NSC-19,94351.76,SR-2,SR-3,611788.9,Nuclear Family,Tamil Nadu,DT-674,542.732
RC-2,FSU-55509,Round 72,SCH-145,Sample 2,Urban,Odisha,Jaipur,Stratum-3,Sub-Stratum-5,N/A,Sub-Round 4,Sub-Sample 2,FOD-374,Block-1,Stage-2,HH-4,Level 2,N/A,5,Financial services,Shop Keeper,Other Labour,Buddhism,Scheduled Caste (SC),34.6 acres,1.3 acres,14.9 acres,No,5,Yes,Pending,,NSS-7,NSC-22,487941.84,SR-3,SR-4,718831.5,Joint Family,Odisha,DT-831,1747.57
RC-5,FSU-81977,Round 60,SCH-156,Sample 2,Urban,West Bengal,Kolkata,Stratum-8,Sub-Stratum-2,N/A,Sub-Round 2,Sub-Sample 2,FOD-928,Block-5,Stage-1,HH-6,Level 2,N/A,2,Crop and animal production,Nurse,Agricultural Labour,Others,Scheduled Caste (SC),11.4 acres,24.6 acres,5.7 acres,No,1,Yes,Pending,,NSS-5,NSC-26,274234.74,SR-3,SR-3,177679.95,Nuclear Family,West Bengal,DT-726,1368.91
RC-5,FSU-75549,Round 60,SCH-151,Sample 2,Urban,Uttar Pradesh,Guwahati,Stratum-3,Sub-Stratum-2,N/A,Sub-Round 2,Sub-Sample 1,FOD-336,Block-3,Stage-1,HH-3,Level 3,N/A,12,Fishing and aquaculture,Shop Keeper,Self-employed in Agriculture,Others,General/Others,42.0 acres,14.8 acres,26.6 acres,No,4,Yes,OK,,NSS-1,NSC-22,67236.14,SR-3,SR-4,155269.69,Extended Family,Uttar Pradesh,DT-254,1419.062
RC-3,FSU-92254,Round 71,SCH-157,Sample 1,Urban,Assam,Pune,Stratum-2,Sub-Stratum-4,N/A,Sub-Round 4,Sub-Sample 2,FOD-145,Block-1,Stage-3,HH-6,Level 3,N/A,9,Retail trade,Mason/Construction Worker,Others,Buddhism,Scheduled Caste (SC),13.0 acres,27.3 acres,25.5 acres,No,4,Yes,Pending,,NSS-19,NSC-22,121449.05,SR-2,SR-1,784015.16,Nuclear Family,Assam,DT-427,159.103
RC-3,FSU-76662,Round 74,SCH-136,Sample 2,Urban,Bihar,Ambala,Stratum-5,Sub-Stratum-2,N/A,Sub-Round 1,Sub-Sample 1,FOD-665,Block-2,Stage-2,HH-1,Level 1,N/A,9,Education services,Shop Keeper,Regular Wage/Salary,Jainism,Scheduled Caste (SC),20.8 acres,4.1 acres,29.6 acres,Yes,5,Yes,OK,,NSS-8,NSC-5,453221.61,SR-2,SR-1,795326.82,Nuclear Family,Bihar,DT-365,1082.581
RC-3,FSU-68782,Round 68,SCH-174,Sample 2,Urban,Odisha,Hyderabad,Stratum-9,Sub-Stratum-5,N/A,Sub-Round 3,Sub-Sample 1,FOD-454,Block-4,Stage-1,HH-8,Level 3,N/A,9,Retail trade,Office Clerk,Other Labour,Islam,Other Backward Class (OBC),37.0 acres,28.6 acres,11.7 acres,Yes,0,Yes,Pending,,NSS-1,NSC-29,420722.38,SR-3,SR-4,535287.2,Extended Family,Odisha,DT-801,1929.631
RC-1,FSU-63128,Round 74,SCH-148,Sample 2,Rural,Odisha,Shimla,Stratum-10,Sub-Stratum-2,N/A,Sub-Round 4,Sub-Sample 1,FOD-440,Block-5,Stage-1,HH-3,Level 2,N/A,11,Land transport,Domestic Helper,Other Labour,Christianity,Scheduled Caste (SC),15.4 acres,11.2 acres,30.7 acres,Yes,3,Yes,OK,,NSS-10,NSC-30,261240.27,SR-5,SR-4,463659.52,Nuclear Family,Odisha,DT-479,158.404
RC-2,FSU-16254,Round 75,SCH-122,Sample 2,Urban,Odisha,Chennai,Stratum-3,Sub-Stratum-3,N/A,Sub-Round 1,Sub-Sample 1,FOD-840,Block-3,Stage-1,HH-1,Level 3,N/A,5,Construction of buildings,Manager,Other Labour,Sikhism,Other Backward Class (OBC),2.5 acres,39.2 acres,2.3 acres,Yes,4,No,OK,,NSS-6,NSC-10,325428.9,SR-4,SR-3,877204.11,Extended Family,Odisha,DT-109,765.121
RC-1,FSU-85620,Round 63,SCH-144,Sample 2,Urban,Tamil Nadu,Bhubaneswar,Stratum-7,Sub-Stratum-3,N/A,Sub-Round 2,Sub-Sample 2,FOD-516,Block-4,Stage-2,HH-4,Level 2,N/A,4,Retail trade,Agricultural Labourer,Self-employed in Non-Agriculture,Jainism,Other Backward Class (OBC),21.3 acres,50.1 acres,18.5 acres,Yes,5,No,Pending,,NSS-17,NSC-13,493961.76,SR-3,SR-1,377434.88,Extended Family,Tamil Nadu,DT-387,1611.856
RC-1,FSU-12541,Round 69,SCH-116,Sample 1,Rural,Jharkhand,Patna,Stratum-5,Sub-Stratum-2,N/A,Sub-Round 3,Sub-Sample 1,FOD-990,Block-1,Stage-2,HH-6,Level 1,N/A,10,Fishing and aquaculture,Shop Keeper,Agricultural Labour,Christianity,General/Others,48.9 acres,28.4 acres,20.1 acres,Yes,3,No,OK,,NSS-15,NSC-29,77375.74,SR-1,SR-5,118938.86,Nuclear Family,Jharkhand,DT-409,1527.769
RC-2,FSU-22266,Round 61,SCH-190,Sample 2,Urban,Karnataka,Bhubaneswar,Stratum-6,Sub-Stratum-3,N/A,Sub-Round 3,Sub-Sample 2,FOD-321,Block-3,Stage-2,HH-3,Level 2,N/A,2,Land transport,Agricultural Labourer,Other Labour,Sikhism,Scheduled Caste (SC),20.4 acres,39.3 acres,19.8 acres,No,0,Yes,OK,,NSS-14,NSC-9,399074.17,SR-3,SR-5,232068.27,Nuclear Family,Karnataka,DT-743,168.549
RC-3,FSU-78834,Round 69,SCH-148,Sample 1,Urban,Assam,Ludhiana,Stratum-4,Sub-Stratum-2,N/A,Sub-Round 3,Sub-Sample 1,FOD-283,Block-1,Stage-1,HH-4,Level 2,N/A,12,Fishing and aquaculture,Driver,Others,Buddhism,Other Backward Class (OBC),19.2 acres,36.5 acres,3.0 acres,No,2,No,Pending,,NSS-2,NSC-9,169586.99,SR-3,SR-1,377705.46,Single Member,Assam,DT-948,567.636
RC-3,FSU-25432,Round 65,SCH-113,Sample 2,Rural,Uttar Pradesh,Lucknow,Stratum-6,Sub-Stratum-1,N/A,Sub-Round 2,Sub-Sample 2,FOD-336,Block-5,Stage-3,HH-6,Level 1,N/A,3,Retail trade,Driver,Self-employed in Agriculture,Islam,Scheduled Caste (SC),39.4 acres,36.5 acres,8.1 acres,Yes,0,No,OK,,NSS-19,NSC-15,128501.76,SR-2,SR-4,637860.14,Single Member,Uttar Pradesh,DT-773,763.115
RC-5,FSU-30589,Round 70,SCH-132,Sample 2,Rural,Jharkhand,Kozhikode,Stratum-2,Sub-Stratum-2,N/A,Sub-Round 2,Sub-Sample 2,FOD-214,Block-1,Stage-1,HH-5,Level 1,N/A,5,Forestry and logging,Agricultural Labourer,Self-employed in Agriculture,Buddhism,Scheduled Tribe (ST),14.7 acres,13.4 acres,20.7 acres,Yes,5,No,Pending,,NSS-18,NSC-18,188658.73,SR-4,SR-3,726156.7,Joint Family,Jharkhand,DT-193,1791.076
RC-2,FSU-21223,Round 66,SCH-182,Sample 1,Rural,Rajasthan,Surat,Stratum-3,Sub-Stratum-1,N/A,Sub-Round 4,Sub-Sample 1,FOD-412,Block-5,Stage-2,HH-4,Level 2,N/A,8,Manufacture of textiles,Driver,Self-employed in Non-Agriculture,Sikhism,Scheduled Tribe (ST),4.9 acres,36.6 acres,13.4 acres,No,1,No,Pending,,NSS-17,NSC-27,136730.35,SR-4,SR-5,117370.23,Extended Family,Rajasthan,DT-240,1728.008
RC-3,FSU-82845,Round 69,SCH-168,Sample 1,Urban,Punjab,Raipur,Stratum-1,Sub-Stratum-1,N/A,Sub-Round 3,Sub-Sample 2,FOD-716,Block-2,Stage-3,HH-4,Level 2,N/A,9,Construction of buildings,Mason/Construction Worker,Regular Wage/Salary,Jainism,Other Backward Class (OBC),19.6 acres,17.3 acres,16.8 acres,No,0,Yes,Pending,,NSS-11,NSC-15,74105.04,SR-4,SR-2,842976.06,Joint Family,Punjab,DT-770,1470.263
RC-2,FSU-96553,Round 67,SCH-162,Sample 2,Urban,Haryana,Dehradun,Stratum-5,Sub-Stratum-4,N/A,Sub-Round 1,Sub-Sample 2,FOD-533,Block-4,Stage-1,HH-1,Level 2,N/A,6,Financial services,Blacksmith,Others,Islam,General/Others,11.6 acres,12.9 acres,21.4 acres,No,0,Yes,Pending,,NSS-12,NSC-17,459595.86,SR-5,SR-4,248671.26,Joint Family,Haryana,DT-610,953.749
RC-5,FSU-96657,Round 75,SCH-181,Sample 1,Urban,Himachal Pradesh,Dehradun,Stratum-8,Sub-Stratum-1,N/A,Sub-Round 2,Sub-Sample 1,FOD-573,Block-2,Stage-3,HH-4,Level 3,N/A,12,Land transport,Farmer/Cultivator,Self-employed in Non-Agriculture,Buddhism,General/Others,50.3 acres,23.5 acres,28.0 acres,Yes,5,No,Pending,,NSS-15,NSC-8,312778.89,SR-5,SR-2,805995.22,Single Member,Himachal Pradesh,DT-639,1716.972
RC-5,FSU-56880,Round 61,SCH-173,Sample 2,Urban,Haryana,Kolkata,Stratum-1,Sub-Stratum-5,N/A,Sub-Round 4,Sub-Sample 2,FOD-115,Block-5,Stage-2,HH-7,Level 3,N/A,5,Hospital activities,Weaver,Agricultural Labour,Others,Scheduled Tribe (ST),16.0 acres,9.8 acres,2.8 acres,No,0,Yes,OK,,NSS-15,NSC-14,398232.18,SR-2,SR-1,338581.29,Single Member,Haryana,DT-662,1386.856
RC-2,FSU-89385,Round 70,SCH-120,Sample 1,Urban,Jharkhand,Pune,Stratum-5,Sub-Stratum-1,N/A,Sub-Round 4,Sub-Sample 1,FOD-800,Block-4,Stage-3,HH-7,Level 3,N/A,8,Manufacture of textiles,Engineer,Self-employed in Agriculture,Islam,Scheduled Tribe (ST),24.8 acres,18.7 acres,11.7 acres,No,4,Yes,OK,,NSS-15,NSC-13,76437.97,SR-3,SR-3,650824.07,Joint Family,Jharkhand,DT-453,287.876
RC-2,FSU-18401,Round 71,SCH-186,Sample 1,Rural,Chhattisgarh,Jaipur,Stratum-10,Sub-Stratum-4,N/A,Sub-Round 2,Sub-Sample 1,FOD-306,Block-5,Stage-3,HH-2,Level 3,N/A,11,Hospital activities,Carpenter,Agricultural Labour,Others,Scheduled Tribe (ST),5.6 acres,14.4 acres,13.2 acres,No,1,No,OK,,NSS-11,NSC-13,174430.95,SR-5,SR-4,384497.9,Nuclear Family,Chhattisgarh,DT-469,1071.321
RC-1,FSU-55201,Round 73,SCH-186,Sample 1,Rural,Andhra Pradesh,Ranchi,Stratum-9,Sub-Stratum-2,N/A,Sub-Round 3,Sub-Sample 2,FOD-384,Block-5,Stage-3,HH-3,Level 2,N/A,4,Restaurant/Hotel,Weaver,Others,Christianity,Scheduled Tribe (ST),39.0 acres,13.4 acres,14.7 acres,Yes,4,No,Pending,,NSS-5,NSC-22,422052.8,SR-4,SR-4,387622.8,Joint Family,Andhra Pradesh,DT-875,1878.473
RC-1,FSU-75891,Round 63,SCH-194,Sample 1,Urban,West Bengal,Kozhikode,Stratum-5,Sub-Stratum-1,N/A,Sub-Round 3,Sub-Sample 1,FOD-532,Block-4,Stage-2,HH-8,Level 2,N/A,10,Software development,Engineer,Agricultural Labour,Christianity,Scheduled Caste (SC),0.8 acres,39.6 acres,1.7 acres,No,2,Yes,Pending,,NSS-12,NSC-3,407722.81,SR-5,SR-1,242472.64,Joint Family,West Bengal,DT-900,1319.989
RC-1,FSU-93706,Round 72,SCH-172,Sample 1,Urban,Madhya Pradesh,Agra,Stratum-10,Sub-Stratum-4,N/A,Sub-Round 1,Sub-Sample 2,FOD-437,Block-3,Stage-2,HH-6,Level 1,N/A,5,Software development,Domestic Helper,Self-employed in Agriculture,Islam,Scheduled Tribe (ST),41.1 acres,35.1 acres,7.7 acres,No,1,No,OK,,NSS-8,NSC-7,397559.2,SR-3,SR-5,588911.65,Joint Family,Madhya Pradesh,DT-824,1402.432
RC-2,FSU-44413,Round 64,SCH-144,Sample 2,Rural,Kerala,Jaipur,Stratum-10,Sub-Stratum-4,N/A,Sub-Round 3,Sub-Sample 1,FOD-187,Block-1,Stage-2,HH-7,Level 2,N/A,3,Software development,Blacksmith,Regular Wage/Salary,Christianity,General/Others,49.9 acres,49.4 acres,24.5 acres,Yes,5,Yes,OK,,NSS-10,NSC-15,307629.72,SR-3,SR-3,255222.36,Extended Family,Kerala,DT-825,676.348
RC-3,FSU-22264,Round 65,SCH-130,Sample 1,Rural,Madhya Pradesh,Ludhiana,Stratum-1,Sub-Stratum-2,N/A,Sub-Round 3,Sub-Sample 1,FOD-124,Block-5,Stage-2,HH-4,Level 1,N/A,2,Fishing and aquaculture,Blacksmith,Others,Jainism,General/Others,30.2 acres,23.6 acres,30.1 acres,No,1,No,Pending,,NSS-5,NSC-3,412933.15,SR-3,SR-4,149786.16,Joint Family,Madhya Pradesh,DT-389,1495.543
RC-4,FSU-46749,Round 72,SCH-135,Sample 1,Urban,Kerala,Ludhiana,Stratum-6,Sub-Stratum-1,N/A,Sub-Round 3,Sub-Sample 2,FOD-972,Block-1,Stage-3,HH-3,Level 1,N/A,10,Land transport,Domestic Helper,Others,Hinduism,Scheduled Caste (SC),18.7 acres,25.3 acres,5.9 acres,Yes,5,No,OK,,NSS-7,NSC-9,263836.19,SR-1,SR-2,570872.9,Nuclear Family,Kerala,DT-273,769.812
RC-1,FSU-26210,Round 64,SCH-158,Sample 2,Rural,Karnataka,Kolkata,Stratum-1,Sub-Stratum-1,N/A,Sub-Round 3,Sub-Sample 2,FOD-591,Block-1,Stage-1,HH-5,Level 1,N/A,8,Fishing and aquaculture,Driver,Other Labour,Sikhism,Scheduled Tribe (ST),23.1 acres,17.3 acres,25.4 acres,Yes,0,No,Pending,,NSS-16,NSC-16,371027.48,SR-5,SR-5,258882.27,Extended Family,Karnataka,DT-426,1385.321
RC-2,FSU-65675,Round 69,SCH-159,Sample 1,Urban,Tamil Nadu,Kozhikode,Stratum-8,Sub-Stratum-1,N/A,Sub-Round 3,Sub-Sample 2,FOD-495,Block-5,Stage-1,HH-7,Level 1,N/A,4,Retail trade,Agricultural Labourer,Self-employed in Non-Agriculture,Islam,General/Others,28.7 acres,18.0 acres,17.4 acres,Yes,3,Yes,OK,,NSS-18,NSC-23,452016.59,SR-1,SR-3,841358.89,Nuclear Family,Tamil Nadu,DT-328,369.267
RC-4,FSU-59674,Round 64,SCH-144,Sample 1,Urban,Assam,Agra,Stratum-7,Sub-Stratum-5,N/A,Sub-Round 2,Sub-Sample 2,FOD-246,Block-2,Stage-1,HH-6,Level 1,N/A,4,Hospital activities,Domestic Helper,Others,Christianity,Scheduled Caste (SC),39.5 acres,25.0 acres,4.6 acres,No,0,No,Pending,,NSS-6,NSC-13,216047.37,SR-2,SR-5,264540.33,Extended Family,Assam,DT-200,511.238
RC-2,FSU-27384,Round 69,SCH-144,Sample 1,Rural,Madhya Pradesh,Jaipur,Stratum-4,Sub-Stratum-2,N/A,Sub-Round 3,Sub-Sample 2,FOD-886,Block-5,Stage-2,HH-5,Level 1,N/A,5,Construction of buildings,Blacksmith,Regular Wage/Salary,Sikhism,General/Others,32.9 acres,13.8 acres,12.7 acres,Yes,0,Yes,OK,,NSS-3,NSC-18,224103.17,SR-4,SR-4,189035.34,Extended Family,Madhya Pradesh,DT-912,946.281
